Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Flag
Australia,8.419,8.534,8.669,8.745,9.825,10.174,10.09,10.112,10.052,10.213,10.66,10.425,9.927,9.748,https://flagcdn.com/w320/au.png
Austria,10.221,10.026,10.199,10.286,10.368,10.368,10.352,10.384,10.349,10.488,11.316,12.152,11.157,10.954,https://flagcdn.com/w320/at.png
Belgium,10.2,10.361,10.503,10.575,10.608,10.797,10.793,10.801,10.861,10.76,11.27,11.044,10.759,10.915,https://flagcdn.com/w320/be.png
Canada,10.704,10.408,10.545,10.44,10.285,10.769,11.061,10.934,10.943,11.059,13.024,12.419,11.234,11.224,https://flagcdn.com/w320/ca.png
Chile,6.82,6.799,7.02,7.476,7.842,8.351,8.558,9.091,9.15,9.31,9.697,9.719,10.014,10.048,https://flagcdn.com/w320/cl.png
Colombia,7.071,6.781,6.746,7.017,7.186,7.523,7.531,7.679,7.625,7.78,8.708,9.017,7.574,7.692,https://flagcdn.com/w320/co.png
Costa Rica,8.029,8.112,7.782,7.679,7.662,7.592,7.315,7.045,7.286,7.221,7.825,7.611,7.184,7.024,https://flagcdn.com/w320/cr.png
Czechia,7.553,7.534,7.594,7.495,7.595,7.335,7.393,7.339,7.46,7.613,9.157,9.452,8.799,8.54,https://flagcdn.com/w320/cz.png
Denmark,10.591,10.388,10.506,10.31,10.292,10.328,10.237,10.098,10.098,10.152,10.719,10.747,9.476,9.441,https://flagcdn.com/w320/dk.png
Estonia,6.594,6.078,6.095,6.281,6.362,6.641,6.702,6.597,6.691,6.772,7.589,7.545,7.02,7.559,https://flagcdn.com/w320/ee.png
Finland,9.142,9.223,9.586,9.805,9.781,9.645,9.378,9.127,9.043,9.171,9.632,9.835,9.685,10.109,https://flagcdn.com/w320/fi.png
France,11.226,11.185,11.297,11.396,11.525,11.44,11.49,11.371,11.21,11.099,12.072,12.292,11.882,11.592,https://flagcdn.com/w320/fr.png
Germany,11.096,10.778,10.853,10.999,11.026,11.19,11.242,11.326,11.473,11.716,12.69,12.902,12.605,11.799,https://flagcdn.com/w320/de.png
Greece,9.597,9.193,8.924,8.438,7.891,8.22,8.449,8.135,8.12,8.198,9.524,9.185,8.5,8.376,https://flagcdn.com/w320/gr.png
Hungary,7.449,7.481,7.411,7.234,7.047,6.854,6.988,6.744,6.58,6.282,7.285,7.382,6.702,6.362,https://flagcdn.com/w320/hu.png
Iceland,8.362,8.255,8.231,8.227,8.29,8.131,8.156,8.324,8.438,8.64,9.649,9.71,9.08,8.992,https://flagcdn.com/w320/is.png
Ireland,10.524,10.599,10.622,10.287,9.495,7.321,7.482,7.107,6.859,6.716,7.063,6.596,6.12,6.565,https://flagcdn.com/w320/ie.png
Israel,6.872,6.823,6.96,6.96,7.051,7.038,7.121,7.196,7.258,7.225,7.73,7.653,7.324,7.626,https://flagcdn.com/w320/il.png
